source,target
Ven'nus,Massaviu
Massaviu,Noxtorn
Massaviu,poggioli
Massaviu,Moli
Massaviu,Caldo
Massaviu,roserona
Massaviu,Lluc
Massaviu,Ariox
Massaviu,xicu
Massaviu,Iglú
Massaviu,Uri
Massaviu,Galgo Lento
Massaviu,kuu
Massaviu,Pol Bordas
Massaviu,Joe Pops
Massaviu,paunezz
Massaviu,Cooba
Massaviu,Ven'nus
Massaviu,Pau Roget
Massaviu,miquel
Massaviu,Geri
Ven'nus,Ven'nus
Ven'nus,Ariox
Ven'nus,xicu
Ven'nus,roserona
Ven'nus,Al·lèrgiques al pol·len
Ven'nus,Iglú
Ven'nus,Caldo
Ven'nus,Massaviu
Ven'nus,Moli
Ven'nus,paunezz
Ven'nus,MARIA HEIN
Ven'nus,Jo Jet i Maria Ribot
Ven'nus,bert bert
Ven'nus,Cooba
Ven'nus,Socunbohemio
Ven'nus,Galgo Lento
Ven'nus,kuu
Ven'nus,Lluc
Ven'nus,Maio
Ven'nus,miquel
Ven'nus,Maria Jaume
Ven'nus,Ariox
Ariox,Caldo
Ariox,Galgo Lento
Ariox,Massaviu
Ariox,xicu
Ariox,Ven'nus
Ariox,roserona
Ariox,Noxtorn
Ariox,Moli
Ariox,Cooba
Ariox,kuu
Ariox,Uri
Ariox,paunezz
Ariox,Iglú
Ariox,MARIA HEIN
Ariox,Lluc
Ariox,Al·lèrgiques al pol·len
Ariox,Reïna
Ariox,VITTARA
Ariox,Jo Jet i Maria Ribot
Ariox,miquel
Ven'nus,roserona
roserona,Massaviu
roserona,Ariox
roserona,Moli
roserona,Uri
roserona,Caldo
roserona,Ven'nus
roserona,Iglú
roserona,Noxtorn
roserona,paunezz
roserona,Lluc
roserona,MARIA HEIN
roserona,miquel
roserona,VITTARA
roserona,Socunbohemio
roserona,Al·lèrgiques al pol·len
roserona,Galgo Lento
roserona,poggioli
roserona,Vienna
roserona,Reïna
roserona,Cooba
Ven'nus,Maria Jaume
Maria Jaume,Reïna
Maria Jaume,MARIA HEIN
Maria Jaume,Da Souza
Maria Jaume,Lluís Cabot
Maria Jaume,Socunbohemio
Maria Jaume,Ariox
Maria Jaume,Renaldo & Clara
Maria Jaume,Ven'nus
Maria Jaume,Miquel Serra
Maria Jaume,Jo Jet i Maria Ribot
Maria Jaume,Anna Andreu
Maria Jaume,Al·lèrgiques al pol·len
Maria Jaume,Plan-ET
Maria Jaume,Guillem Gisbert
Maria Jaume,La Ludwig Band
Maria Jaume,FADES
Maria Jaume,roserona
Maria Jaume,Iglú
Maria Jaume,Salvatge Cor
Maria Jaume,Pau Vallvé
Ven'nus,xicu
xicu,Ariox
xicu,Massaviu
xicu,Uri
xicu,roserona
xicu,Iglú
xicu,Ven'nus
xicu,paunezz
xicu,Caldo
xicu,Moli
xicu,kuu
xicu,miquel
xicu,Galgo Lento
xicu,Vernat
xicu,Lluc
xicu,VITTARA
xicu,bert bert
xicu,Valhua
xicu,Socunbohemio
xicu,Al·lèrgiques al pol·len
xicu,Jo Jet i Maria Ribot
Ven'nus,miquel
miquel,paunezz
miquel,xicu
miquel,guillembautista
miquel,Massaviu
miquel,Ariox
miquel,roserona
miquel,Iglú
miquel,Ven'nus
miquel,Moli
miquel,Uri
miquel,Nafría
miquel,Socunbohemio
miquel,bert bert
miquel,Galgo Lento
miquel,kuu
miquel,Caldo
miquel,Reïna
miquel,Jo Jet i Maria Ribot
miquel,VITTARA
miquel,Lluc
Ven'nus,MARIA HEIN
MARIA HEIN,Maria Jaume
MARIA HEIN,Reïna
MARIA HEIN,Ariox
MARIA HEIN,FADES
MARIA HEIN,Plan-ET
MARIA HEIN,Ven'nus
MARIA HEIN,roserona
MARIA HEIN,kuu
MARIA HEIN,xicu
MARIA HEIN,Da Souza
MARIA HEIN,Socunbohemio
MARIA HEIN,Al·lèrgiques al pol·len
MARIA HEIN,Lluc
MARIA HEIN,VITTARA
MARIA HEIN,bert bert
MARIA HEIN,Júlia Colom
MARIA HEIN,Julieta
MARIA HEIN,Galgo Lento
MARIA HEIN,Massaviu
MARIA HEIN,Iglú
Ven'nus,bert bert
bert bert,Azul
bert bert,Iglú
bert bert,Galgo Lento
bert bert,kuu
bert bert,xicu
bert bert,Ven'nus
bert bert,Reïna
bert bert,Lluc
bert bert,Ariox
bert bert,Massaviu
bert bert,Caldo
bert bert,Uri
bert bert,VITTARA
bert bert,roserona
bert bert,miquel
bert bert,paunezz
bert bert,Socunbohemio
bert bert,FADES
bert bert,poggioli
bert bert,Pol Bordas
Ven'nus,Reïna
Reïna,Garrafa Nadal
Reïna,Plan-ET
Reïna,Lluís Cabot
Reïna,Maria Jaume
Reïna,Roig!
Reïna,Da Souza
Reïna,Miquel Serra
Reïna,MARIA HEIN
Reïna,Jorra i Gomorra
Reïna,Miquel de la Mel
Reïna,Ariox
Reïna,Salvatge Cor
Reïna,bert bert
Reïna,Iglú
Reïna,Nita
Reïna,Roger Pistola
Reïna,Mar Grimalt
Reïna,roserona
Reïna,Ven'nus
Reïna,Saïm
Ven'nus,Caldo
Caldo,Cooba
Caldo,ari llobet
Caldo,Uri
Caldo,Noxtorn
Caldo,Ariox
Caldo,Massaviu
Caldo,Svetlana
Caldo,xicu
Caldo,roserona
Caldo,Moli
Caldo,Ouineta
Caldo,Ven'nus
Caldo,Lluc
Caldo,FADES
Caldo,kuu
Caldo,La Queency
Caldo,Galgo Lento
Caldo,Joe Pops
Caldo,Iglú
Caldo,Katta Lana
Ven'nus,Iglú
Iglú,Massaviu
Iglú,xicu
Iglú,kuu
Iglú,Lluc
Iglú,bert bert
Iglú,Ven'nus
Iglú,Ariox
Iglú,roserona
Iglú,Vernat
Iglú,Uri
Iglú,miquel
Iglú,Reïna
Iglú,Lal'Ba
Iglú,Vienna
Iglú,Moli
Iglú,Galgo Lento
Iglú,Caldo
Iglú,paunezz
