source,target,genres
Ven'nus,Massaviu,"['indie catala', 'musica catalana']"
Massaviu,Noxtorn,['trap catala']
Massaviu,poggioli,[]
Massaviu,Moli,[]
Massaviu,Caldo,[]
Massaviu,roserona,"['indie catala', 'musica catalana']"
Massaviu,Lluc,['trap catala']
Massaviu,Ariox,"['indie catala', 'musica catalana']"
Massaviu,xicu,"['indie catala', 'musica catalana']"
Massaviu,Iglú,"['indie catala', 'musica catalana']"
Massaviu,Uri,['musica catalana']
Massaviu,Galgo Lento,['indie catala']
Massaviu,kuu,[]
Massaviu,Pol Bordas,['trap catala']
Massaviu,Joe Pops,[]
Massaviu,paunezz,['indie catala']
Massaviu,Cooba,[]
Massaviu,Ven'nus,"['indie catala', 'musica catalana']"
Massaviu,Pau Roget,['indie catala']
Massaviu,miquel,['indie catala']
Massaviu,Geri,['musica catalana']
Ven'nus,Ven'nus,"['indie catala', 'musica catalana']"
Ven'nus,Ariox,"['indie catala', 'musica catalana']"
Ven'nus,xicu,"['indie catala', 'musica catalana']"
Ven'nus,roserona,"['indie catala', 'musica catalana']"
Ven'nus,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
Ven'nus,Iglú,"['indie catala', 'musica catalana']"
Ven'nus,Caldo,[]
Ven'nus,Massaviu,"['indie catala', 'musica catalana']"
Ven'nus,Moli,[]
Ven'nus,paunezz,['indie catala']
Ven'nus,MARIA HEIN,['indie catala']
Ven'nus,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Ven'nus,bert bert,[]
Ven'nus,Cooba,[]
Ven'nus,Socunbohemio,['indie catala']
Ven'nus,Galgo Lento,['indie catala']
Ven'nus,kuu,[]
Ven'nus,Lluc,['trap catala']
Ven'nus,Maio,['musica catalana']
Ven'nus,miquel,['indie catala']
Ven'nus,Maria Jaume,"['indie catala', 'rock catala']"
Ven'nus,Ariox,"['indie catala', 'musica catalana']"
Ariox,Caldo,[]
Ariox,Galgo Lento,['indie catala']
Ariox,Massaviu,"['indie catala', 'musica catalana']"
Ariox,xicu,"['indie catala', 'musica catalana']"
Ariox,Ven'nus,"['indie catala', 'musica catalana']"
Ariox,roserona,"['indie catala', 'musica catalana']"
Ariox,Noxtorn,['trap catala']
Ariox,Moli,[]
Ariox,Cooba,[]
Ariox,kuu,[]
Ariox,Uri,['musica catalana']
Ariox,paunezz,['indie catala']
Ariox,Iglú,"['indie catala', 'musica catalana']"
Ariox,MARIA HEIN,['indie catala']
Ariox,Lluc,['trap catala']
Ariox,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
Ariox,Reïna,['indie catala']
Ariox,VITTARA,[]
Ariox,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Ariox,miquel,['indie catala']
Ven'nus,roserona,"['indie catala', 'musica catalana']"
roserona,Massaviu,"['indie catala', 'musica catalana']"
roserona,Ariox,"['indie catala', 'musica catalana']"
roserona,Moli,[]
roserona,Uri,['musica catalana']
roserona,Caldo,[]
roserona,Ven'nus,"['indie catala', 'musica catalana']"
roserona,Iglú,"['indie catala', 'musica catalana']"
roserona,Noxtorn,['trap catala']
roserona,paunezz,['indie catala']
roserona,Lluc,['trap catala']
roserona,MARIA HEIN,['indie catala']
roserona,miquel,['indie catala']
roserona,VITTARA,[]
roserona,Socunbohemio,['indie catala']
roserona,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
roserona,Galgo Lento,['indie catala']
roserona,poggioli,[]
roserona,Vienna,"['indie catala', 'musica catalana']"
roserona,Reïna,['indie catala']
roserona,Cooba,[]
Ven'nus,Maria Jaume,"['indie catala', 'rock catala']"
Maria Jaume,Reïna,['indie catala']
Maria Jaume,MARIA HEIN,['indie catala']
Maria Jaume,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
Maria Jaume,Lluís Cabot,"['indie catala', 'musica mallorquina']"
Maria Jaume,Socunbohemio,['indie catala']
Maria Jaume,Ariox,"['indie catala', 'musica catalana']"
Maria Jaume,Renaldo & Clara,"['indie catala', 'rock catala']"
Maria Jaume,Ven'nus,"['indie catala', 'musica catalana']"
Maria Jaume,Miquel Serra,"['indie catala', 'musica mallorquina']"
Maria Jaume,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Maria Jaume,Anna Andreu,['indie catala']
Maria Jaume,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
Maria Jaume,Plan-ET,[]
Maria Jaume,Guillem Gisbert,['indie catala']
Maria Jaume,La Ludwig Band,"['indie catala', 'rock catala']"
Maria Jaume,FADES,[]
Maria Jaume,roserona,"['indie catala', 'musica catalana']"
Maria Jaume,Iglú,"['indie catala', 'musica catalana']"
Maria Jaume,Salvatge Cor,"['indie catala', 'musica mallorquina']"
Maria Jaume,Pau Vallvé,"['cantautor catala', 'indie catala', 'rock catala']"
Ven'nus,xicu,"['indie catala', 'musica catalana']"
xicu,Ariox,"['indie catala', 'musica catalana']"
xicu,Massaviu,"['indie catala', 'musica catalana']"
xicu,Uri,['musica catalana']
xicu,roserona,"['indie catala', 'musica catalana']"
xicu,Iglú,"['indie catala', 'musica catalana']"
xicu,Ven'nus,"['indie catala', 'musica catalana']"
xicu,paunezz,['indie catala']
xicu,Caldo,[]
xicu,Moli,[]
xicu,kuu,[]
xicu,miquel,['indie catala']
xicu,Galgo Lento,['indie catala']
xicu,Vernat,['indie catala']
xicu,Lluc,['trap catala']
xicu,VITTARA,[]
xicu,bert bert,[]
xicu,Valhua,[]
xicu,Socunbohemio,['indie catala']
xicu,Al·lèrgiques al pol·len,"['indie catala', 'musica catalana']"
xicu,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
Ven'nus,miquel,['indie catala']
miquel,paunezz,['indie catala']
miquel,xicu,"['indie catala', 'musica catalana']"
miquel,guillembautista,[]
miquel,Massaviu,"['indie catala', 'musica catalana']"
miquel,Ariox,"['indie catala', 'musica catalana']"
miquel,roserona,"['indie catala', 'musica catalana']"
miquel,Iglú,"['indie catala', 'musica catalana']"
miquel,Ven'nus,"['indie catala', 'musica catalana']"
miquel,Moli,[]
miquel,Uri,['musica catalana']
miquel,Nafría,[]
miquel,Socunbohemio,['indie catala']
miquel,bert bert,[]
miquel,Galgo Lento,['indie catala']
miquel,kuu,[]
miquel,Caldo,[]
miquel,Reïna,['indie catala']
miquel,Jo Jet i Maria Ribot,"['indie catala', 'rock catala']"
miquel,VITTARA,[]
miquel,Lluc,['trap catala']
Ven'nus,MARIA HEIN,['indie catala']
MARIA HEIN,Maria Jaume,"['indie catala', 'rock catala']"
MARIA HEIN,Reïna,['indie catala']
MARIA HEIN,Ariox,"['indie catala', 'musica catalana']"
MARIA HEIN,FADES,[]
MARIA HEIN,Plan-ET,[]
MARIA HEIN,Ven'nus,"['indie catala', 'musica catalana']"
MARIA HEIN,roserona,"['indie catala', 'musica catalana']"
MARIA HEIN,kuu,[]
MARIA HEIN,xicu,"['indie catala', 'musica catalana']"
MARIA HEIN,Da Souza,"['indie catala', 'musica mallorquina', 'rock catala']"
MARIA HEIN,Socunbohemio,['indie catala']
